metodo,estacao,err_pad,n
ffill_estacao,CM320,0.46139250120304515,87
ffill_estacao,JC342,0.800346037556439,85
ffill_estacao,MR361,0.5384390747135663,80
ffill_estacao,MR369,0.4743029223531053,73
ffill_estacao,TJ303,0.6844192111467506,75
gain,CM320,0.37870528093773,87
gain,JC342,0.672802291484971,85
gain,MR361,0.4903829888994255,80
gain,MR369,0.49671252179654923,73
gain,TJ303,0.48244119364312593,75
knn,CM320,0.38660384970746875,87
knn,JC342,0.7331825036301037,85
knn,MR361,0.4785974184945516,80
knn,MR369,0.4463622186176655,73
knn,TJ303,0.5710872798492492,75
media_estacao,CM320,0.5939553986816032,87
media_estacao,JC342,0.7891594066907304,85
media_estacao,MR361,0.6237227804109562,80
media_estacao,MR369,0.4417539658826889,73
media_estacao,TJ303,0.5498408725103162,75
media_global,CM320,0.5836184742744299,87
media_global,JC342,0.8775986973145435,85
media_global,MR361,0.6210453890526209,80
media_global,MR369,0.5755652670673682,73
media_global,TJ303,0.6200186731609336,75
mediana_global,CM320,0.5558966020568363,87
mediana_global,JC342,0.8515962246519132,85
mediana_global,MR361,0.6409776057009442,80
mediana_global,MR369,0.591312223204998,73
mediana_global,TJ303,0.6543193140611189,75
mice,CM320,0.6374006731106591,87
mice,JC342,0.5688273047024742,85
mice,MR361,0.583956159800753,80
mice,MR369,0.6400124252179508,73
mice,TJ303,0.483290700147728,75
missforest,CM320,0.4021100548413299,87
missforest,JC342,0.6363201371752164,85
missforest,MR361,0.48331592812024937,80
missforest,MR369,0.5347270765722458,73
missforest,TJ303,0.5419781178564052,75
