metodo,miss_rate,RMSE_mean,RMSE_std,MAE_mean,RMSE_orig_mean,n
ffill_estacao,0.1,0.32772797765841577,0.21349046024889767,0.23212184824988566,1007.074592160997,30
ffill_estacao,0.2,0.3978575500696158,0.21218747058335968,0.2830388477197604,1505.5792045627395,30
ffill_estacao,0.3,0.4244537150875868,0.18983401873488004,0.30706106416720685,1579.8126401876677,30
ffill_estacao,0.5,0.4388140111673741,0.1648176187676237,0.3205034617264085,1421.4879596223282,30
gain,0.1,0.30772774598842084,0.2021823998302407,0.24785813657947273,665.6028627527082,30
gain,0.2,0.3116875344007087,0.17195430174258222,0.2368826679837092,827.1633318873371,30
gain,0.3,0.32986583168819045,0.14307278982680938,0.24175450571474197,1169.7664558432127,30
gain,0.5,0.34299799080659543,0.11764545721349833,0.24778385416939366,1118.0845065641295,30
knn,0.1,0.2921555496876096,0.18164725803482978,0.24111415853907975,957.6532098233195,30
knn,0.2,0.3127258516609362,0.16897712939059073,0.24729353601720203,1026.6452993931248,30
knn,0.3,0.3174019362163743,0.15380748022966217,0.2480205169533366,1325.49222156096,30
knn,0.5,0.3266156553235336,0.12714296637847652,0.24700138637376823,1284.7791393982338,30
media_estacao,0.1,0.34148196588723334,0.20608969991139298,0.2923476574647488,911.6377919636012,30
media_estacao,0.2,0.34973524110612875,0.14982727223248105,0.28688170816170644,1050.839921769024,30
media_estacao,0.3,0.3533159436389299,0.14030348021143701,0.2864429059498848,1241.3533271944507,30
media_estacao,0.5,0.3514399747397245,0.12372145136623573,0.2810221431716468,1109.888627673335,30
media_global,0.1,0.3760656071195637,0.2036298057800713,0.3230061452587795,1653.8413795464016,30
media_global,0.2,0.37617041876180674,0.14149636759162965,0.31345781638685977,1615.6143259297564,30
media_global,0.3,0.37295359321345256,0.14103399633078265,0.30757125285884546,1802.3930398732125,30
media_global,0.5,0.3801764062338852,0.11545256053081336,0.3109243264552731,1683.4754496828077,30
mediana_global,0.1,0.38788134697674964,0.23420155694273087,0.3311311200853041,1678.0892489830326,30
mediana_global,0.2,0.3850319487281489,0.15674618417766048,0.3168277381887853,1740.3615385028984,30
mediana_global,0.3,0.38104123641341925,0.1578245098956227,0.310031054364753,1954.9802107025005,30
mediana_global,0.5,0.38989885834011584,0.1305427872704982,0.3143549403846588,1811.9035764188186,30
mice,0.1,0.3455494666429548,0.28942652723874607,0.2725654954143965,554.288645331005,30
mice,0.2,0.3328090902488593,0.21919036454182492,0.2576739151643513,693.1350604822472,30
mice,0.3,0.3436374825643161,0.1851389509547699,0.26413779188836706,903.1298127196364,30
mice,0.5,0.33819632418615325,0.14951174628530842,0.25759525048903975,874.3858852968273,30
missforest,0.1,0.327829921947498,0.27604294937870977,0.2660321226947415,654.7848626291213,30
missforest,0.2,0.34685550273429044,0.23998002955369713,0.26715808520659423,817.1305434115424,30
missforest,0.3,0.3469218628958858,0.19274903850020916,0.2592102908474689,1082.3158984109737,30
missforest,0.5,0.3468112812268399,0.15826620873389505,0.2482840489755274,1140.0988501059742,30
