variavel,melhor_baseline,n_pares,RMSE_gain,RMSE_baseline,delta_mediano,W,pvalue,favorece,signif_5pct
DBO,ffill_estacao,43,9.167,6.171,0.825678813560426,400.0,0.38507096484067915,baseline,False
OD,mice,37,3.068,2.664,0.18251482423366472,330.0,0.745665683280643,baseline,False
Nitrato,ffill_estacao,43,0.178,0.143,0.006858061722025306,428.0,0.5868696999244414,baseline,False
Nitrogênio Amoniacal Total,missforest,40,3.053,2.721,-0.17255162054535023,376.0,0.6558992899281293,GAIN,False
Fósforo Total,missforest,32,108.787,108.787,-0.09111818627768592,160.0,0.05180721335804454,GAIN,False
Condutividade,mice,41,7981.0,6690.251,928.6160600783805,299.0,0.08837322843873464,baseline,False
pH,missforest,53,0.516,0.446,-0.03966724634468477,694.0,0.8490470681803969,GAIN,False
Turbidez,mice,54,134.224,64.29,0.6988431257103853,572.0,0.14208907374925134,baseline,False
Temperatura da Água,mice,47,3.306,2.254,0.006691706491810834,425.0,0.14130995251437653,baseline,False
Sólidos Suspensos Totais,knn,10,28.334,26.465,9.676786735376915,23.0,0.6953125,baseline,False
