variavel,n_original,n_imputado,pct_imputado,mean_original,mean_imputado,razao_media
DBO,624,15,2.3,16.70070512820513,15.913467557291048,0.953
OD,618,21,3.3,5.122653721682847,4.643747113511216,0.907
Nitrato,337,302,47.3,0.1816913946587537,0.04740808014485313,0.261
Nitrogênio Amoniacal Total,491,148,23.2,5.009816700610998,5.343219336193247,1.067
Fósforo Total,606,33,5.2,7.940478547854786,0.9324260822728424,0.117
Condutividade,617,22,3.4,18664.5755267423,16693.057063005526,0.894
pH,621,18,2.8,7.852962962962963,7.8071176268858835,0.994
Turbidez,613,26,4.1,39.776949429037515,40.548541267511155,1.019
Temperatura da Água,611,28,4.4,24.772995090016366,25.70907681754657,1.038
Sólidos Suspensos Totais,156,483,75.6,52.60897435897436,43.67235007189376,0.83
Coliformes Termotolerantes,476,163,25.5,180489.7142857143,29683.64719783776,0.164
