variavel,n_total,n_censurado_lt,n_censurado_gt,pct_censurado,pct_missing,decisao
Nitrato,337,74,0,0.2196,0.4726,alta
OD,618,6,0,0.0097,0.0329,desprezivel
Coliformes Termotolerantes,476,1,28,0.0609,0.2551,moderada
DBO,624,15,0,0.024,0.0235,moderada
Nitrogênio Amoniacal Total,491,11,0,0.0224,0.2316,moderada
Condutividade,617,0,0,0.0,0.0344,sem_censura
Fósforo Total,606,0,0,0.0,0.0516,sem_censura
pH,621,0,0,0.0,0.0282,sem_censura
Turbidez,613,0,0,0.0,0.0407,sem_censura
Temperatura da Água,611,0,0,0.0,0.0438,sem_censura
Sólidos Suspensos Totais,156,0,0,0.0,0.7559,sem_censura
