config_id,hint_rate,alpha,beta,batch_size,lr_g,lr_d,hidden,rmse_val,iteracao_melhor,tempo_s
cfg_0109,0.5,1,100,32,0.001,0.0005,256-128,0.2702968120574951,500,14.7
cfg_0113,0.5,1,100,64,0.001,0.0005,64-64,0.2767307460308075,1100,10.4
cfg_0120,0.5,1,100,64,0.001,0.001,128-128-128,0.2936252951622009,500,14.6
cfg_0164,0.5,10,0,64,0.001,0.001,128-128,0.3224247395992279,100,13.0
cfg_0235,0.5,10,10,128,0.0005,0.0005,128-128-128,0.27317875623703003,700,21.0
cfg_0256,0.5,10,100,64,0.001,0.001,64-64,0.27601608633995056,3000,15.2
cfg_0477,0.7,1,0,128,0.001,0.0005,256-128,0.3667513430118561,100,22.3
cfg_0520,0.7,1,10,128,0.001,0.001,128-128-128,0.2853769063949585,100,23.3
cfg_0550,0.7,1,100,64,0.0005,0.001,128-128,0.27280887961387634,800,17.5
cfg_0557,0.7,1,100,64,0.001,0.0005,256-128,0.27368098497390747,500,26.7
cfg_0574,0.7,1,100,128,0.0005,0.001,256-128,0.26984450221061707,100,23.5
cfg_0579,0.7,10,0,32,0.0005,0.0005,64-64,0.30195364356040955,200,14.4
cfg_0643,0.7,10,10,64,0.0005,0.0005,64-64,0.26274803280830383,2500,18.0
cfg_0658,0.7,10,10,128,0.0005,0.001,64-64,0.2766355574131012,3000,16.8
cfg_0672,0.7,10,100,32,0.001,0.001,64-64,0.28162646293640137,300,14.1
cfg_0706,0.7,10,100,128,0.0005,0.001,64-64,0.28285837173461914,200,14.6
cfg_0830,0.7,100,100,32,0.0005,0.001,256-128,0.2697235643863678,2200,19.9
cfg_0831,0.7,100,100,32,0.0005,0.0005,256-128,0.2724093198776245,800,18.3
cfg_0888,0.9,1,0,64,0.001,0.001,128-128-128,0.366476833820343,100,20.9
cfg_0919,0.9,1,10,32,0.0005,0.0005,128-128,0.2746381461620331,2300,16.8
cfg_0941,0.9,1,10,64,0.001,0.0005,256-128,0.25514107942581177,1000,19.6
cfg_0974,0.9,1,100,32,0.0005,0.001,256-128,0.2675783038139343,500,17.6
cfg_0981,0.9,1,100,64,0.001,0.0005,128-128,0.27089565992355347,500,16.4
cfg_1007,0.9,1,100,128,0.0005,0.0005,256-128,0.2701040208339691,100,19.8
cfg_1009,0.9,10,0,32,0.001,0.0005,64-64,0.30438798666000366,100,12.6
cfg_1064,0.9,10,10,32,0.001,0.001,128-128-128,0.2693469226360321,800,18.9
cfg_1079,0.9,10,10,64,0.0005,0.0005,128-128,0.2569207549095154,2100,16.2
cfg_1092,0.9,10,10,128,0.001,0.001,128-128,0.23551051318645477,1000,15.1
cfg_1195,0.9,100,0,128,0.0005,0.0005,128-128-128,0.30334025621414185,100,18.8
cfg_1246,0.9,100,10,128,0.0005,0.001,256-128,0.2635279893875122,1600,17.7
cfg_ref,0.9,10,0,64,0.001,0.001,128-128,0.3231569826602936,100,12.0
