coluna,min_orig,max_orig,min_norm,max_norm,n_nan_antes,n_nan_depois
DBO,0.0,6.212964466394581,-1.0,1.0,15,15
OD,0.0,5.209708990162098,-1.0,0.9999999999999998,21,21
Nitrato,-13.020340323374166,1.5143319580343322,-1.0,1.0000000000000002,302,302
Nitrogênio Amoniacal Total,0.0,3.2886805432633115,-1.0,1.0,148,148
Fósforo Total,-4.489683719212109,4.554928481916372,-1.0,1.0000000000000002,33,33
Condutividade,12.0,64200.0,-1.0,1.0,22,22
pH,6.0,10.5,-1.0,0.9999999999999996,18,18
Turbidez,-0.790146872005276,7.903217374019595,-1.0,1.0,26,26
Temperatura da Água,16.0,36.0,-1.0,1.0,28,28
Sólidos Suspensos Totais,1.2946089959638758,13.439880918551891,-1.0,0.9999999999999998,483,483
Coliformes Termotolerantes,3.1789123677848043,23.51873039070025,-0.9999999999999999,1.0,163,163
dias_desde_inicio,0.0,5067.0,-1.0,1.0,0,0
